n,Number,Floor,Layout,Type, View, Square, ExSquare,TotalArea, Price AED, Price USD, target_column
202,A-901,9,1B Convertible,B,Pool,923,70,993,1 815 975,497 527,1815975
203,A-904,9,1B Convertible,C,Pool,953,121,1 075,1 860 584,509 749,1860584
204,A-906,9,1B Convertible,A,Street,845,83,929,1 766 990,484 107,1766990
205,A-907,9,1B Convertible,A,Street,845,83,929,1 766 990,484 107,1766990
206,A-913,9,1B Convertible,A,Pool,859,62,921,1 776 260,486 647,1776260
207,B-903,9,3B Convertible,B,Street,1 515,142,1 658,2 604 406,713 536,2604406
208,B-904,9,ST Convertible,A,Street,421,26,447,1 098 320,300 910,1098320
209,B-905,9,ST Convertible,A,Street,421,27,448,1 099 146,301 136,1099146
210,B-906,9,ST Convertible,A,Street,421,27,448,1 099 146,301 136,1099146
211,B-907,9,ST Convertible,A,Street,421,26,447,1 098 320,300 910,1098320
212,B-908,9,2B Convertible,C,Street,1 211,133,1 344,2 141 275,586 651,2141275
213,B-909,9,1B Convertible,A,Street,845,60,906,1 754 830,480 775,1754830
214,B-910,9,2B Convertible,A,Street,1 169,128,1 297,2 113 247,578 972,2113247
215,B-911,9,2B Convertible,A,Street,1 178,126,1 304,2 117 428,580 117,2117428
216,B-912,9,3B Convertible,A,Street,1 458,129,1 587,2 568 388,703 668,2568388
217,B-913,9,1B Convertible,C,Pool,977,121,1 098,1 873 191,513 203,1873191
218,B-914,9,1B Convertible,A,Pool,845,129,974,1 805 547,494 670,1805547
219,B-915,9,1B Convertible,A,Pool,845,93,938,1 785 746,489 245,1785746
220,B-916,9,1B Convertible,B,Pool,912,70,982,1 809 493,495 752,1809493
221,A-1001,10,1B Convertible,B,Pool,923,70,993,1 821 757,499 112,1821757
222,A-1004,10,1B Convertible,C,Pool,957,121,1 078,1 868 982,512 050,1868982
223,A-1005,10,2B Convertible,A,Street,1 178,169,1 347,2 152 874,589 828,2152874
224,A-1005,10,2B Convertible,A,Street,1 178,169,1 347,2 152 874,589 828,2152874
225,A-1006,10,1B Convertible,A,Street,842,86,928,1 772 104,485 508,1772104
226,A-1007,10,1B Convertible,D,Street,820,43,863,1 737 024,475 897,1737024
227,A-1008,10,1B Convertible,A,Street,842,86,928,1 772 050,485 493,1772050
228,A-1013,10,1B Convertible,A,Pool,854,66,920,1 781 083,487 968,1781083
229,B-1003,10,3B Convertible,B,Street,1 515,142,1 657,2 615 012,716 442,2615012
230,B-1004,10,ST Convertible,A,Street,422,26,447,1 102 057,301 933,1102057
231,B-1005,10,ST Convertible,A,Street,422,27,448,1 102 890,302 162,1102890
232,B-1006,10,ST Convertible,A,Street,421,27,448,1 102 677,302 103,1102677
233,B-1007,10,ST Convertible,A,Street,421,26,447,1 101 844,301 875,1101844
234,B-1008,10,2B Convertible,C,Street,1 212,133,1 345,2 151 441,589 436,2151441
235,B-1009,10,1B Convertible,A,Street,842,64,906,1 760 048,482 205,1760048
236,B-1010,10,2B Convertible,A,Street,1 169,128,1 297,2 122 866,581 607,2122866
237,B-1011,10,2B Convertible,A,Street,1 178,126,1 304,2 127 099,582 767,2127099
238,B-1012,10,3B Convertible,A,Street,1 458,129,1 587,2 578 855,706 536,2578855
239,B-1013,10,1B Convertible,C,Pool,972,125,1 097,1 879 344,514 889,1879344
240,B-1014,10,1B Convertible,A,Pool,839,134,974,1 810 974,496 157,1810974
241,B-1015,10,1B Convertible,D,Pool,820,50,870,1 753 570,480 430,1753570
242,B-1016,10,1B Convertible,B,Pool,912,70,982,1 815 207,497 317,1815207
243,A-1101,11,1B Convertible,B,Pool,923,70,993,1 827 539,500 696,1827539
244,A-1103,11,ST Convertible,A,Pool,420,41,461,1 128 022,309 047,1128022
245,A-1104,11,1B Convertible,C,Pool,953,121,1 075,1 873 097,513 177,1873097
246,A-1106,11,1B Convertible,A,Street,845,83,929,1 777 800,487 068,1777800
247,A-1107,11,1B Convertible,A,Street,845,83,929,1 777 800,487 068,1777800
248,A-1113,11,1B Convertible,A,Pool,859,62,921,1 786 979,489 583,1786979
249,B-1103,11,3B Convertible,B,Street,1 515,142,1 658,2 626 276,719 528,2626276
250,B-1105,11,ST Convertible,A,Street,421,27,448,1 106 208,303 071,1106208
